pool_id,cycle,date,surface(ha),days,week,surviving,density(shrimp),density(shrimp/ha),weight(g),growth,biomass(kg),biomass(kg/ha),food(kg),food(kg/ha),type_feeding,Medicion,Alimento acumulado [Kg],FCA
4,2020,2020-07-01,4.9,0,0.0,1,998000,203673.4693877551,,0.0,,,,,,,0.0,
4,2020,2020-07-02,4.9,1,0.14285714285714285,0.98,978040,199600.0,0.15,0.0,146.706,29.939999999999994,37.5,7.653061224489796,Boleo,,37.5,375.0
4,2020,2020-07-03,4.9,2,0.2857142857142857,0.97,968060,197563.26530612243,0.18,0.03,174.2508,35.56138775510204,40,8.16326530612245,Boleo,,77.5,2.8034205347841175
4,2020,2020-07-04,4.9,3,0.42857142857142855,0.96,958080,195526.53061224488,0.24,0.06,229.93919999999997,46.92636734693877,40,8.16326530612245,Boleo,,117.5,1.41000225600361
4,2020,2020-07-05,4.9,4,0.5714285714285714,0.95,948100,193489.79591836734,0.30000000000000004,0.06000000000000005,284.43000000000006,58.04693877551021,50,10.204081632653061,Boleo,,167.5,1.2153180868353837
4,2020,2020-07-06,4.9,5,0.7142857142857143,0.94,938120,191453.0612244898,0.37,0.06999999999999995,347.1044,70.83763265306122,70,14.285714285714285,Boleo,,237.5,1.18454810611955
4,2020,2020-07-07,4.9,6,0.8571428571428571,0.93,928140,189416.32653061222,0.5,0.13,464.07,94.70816326530611,75,15.306122448979592,Boleo,,312.5,0.9843635813824558
4,2020,2020-07-08,4.9,7,1.0,0.92,918160,187379.59183673467,0.64,0.14,587.6224,119.92293877551019,90,18.36734693877551,Boleo,1.0,402.5,0.9126644723416182
4,2020,2020-07-09,4.9,8,1.1428571428571428,0.915,913170,186361.22448979592,0.73,0.08999999999999997,666.6141,136.04369387755102,100,20.408163265306122,Boleo,,502.5,0.9663311013809208
4,2020,2020-07-10,4.9,9,1.2857142857142858,0.91,908180,185342.85714285713,0.81,0.08000000000000007,735.6258,150.1277142857143,125,25.51020408163265,Boleo,,627.5,1.0653292130417347
4,2020,2020-07-11,4.9,10,1.4285714285714286,0.9,898200,183306.1224489796,0.9,0.08999999999999997,808.38,164.97551020408162,100,20.408163265306122,Boleo/Platos,,727.5,1.0993178940242438
4,2020,2020-07-12,4.9,11,1.5714285714285714,0.8985000000000001,896703.0000000001,183000.61224489796,0.99,0.08999999999999997,887.7359700000001,181.170606122449,125,25.51020408163265,Boleo/Platos,,852.5,1.1502705793964856
4,2020,2020-07-13,4.9,12,1.7142857142857142,0.8970000000000001,895206.0000000001,182695.1020408163,1.08,0.09000000000000008,966.8224800000003,197.3107102040817,125,25.51020408163265,Boleo/Platos,1.0,977.5,1.1917585464754374
4,2020,2020-07-14,4.9,13,1.8571428571428572,0.8955000000000002,893709.0000000002,182389.59183673467,1.23,0.1499999999999999,1099.2620700000002,224.3391979591837,125,25.51020408163265,Boleo/Platos,,1102.5,1.1572906893880388
4,2020,2020-07-15,4.9,14,2.0,0.8940000000000002,892212.0000000002,182084.08163265305,1.39,0.15999999999999992,1240.17468,253.09687346938776,135,27.551020408163264,Boleo/Platos,,1237.5,1.1316161688171245
4,2020,2020-07-16,4.9,15,2.142857142857143,0.8925000000000003,890715.0000000003,181778.57142857142,1.54,0.15000000000000013,1371.7011000000005,279.9390000000001,140,28.57142857142857,Boleo/Platos,1.0,1377.5,1.124402505568751
4,2020,2020-07-17,4.9,16,2.2857142857142856,0.8910000000000003,889218.0000000003,181473.0612244898,1.6800000000000002,0.14000000000000012,1493.8862400000007,304.87474285714296,150,30.612244897959183,Boleo/Platos,,1527.5,1.1337656076660036
4,2020,2020-07-18,4.9,17,2.4285714285714284,0.8895000000000004,887721.0000000003,181167.55102040814,1.83,0.1499999999999999,1624.5294300000007,331.53661836734705,150,30.612244897959183,Boleo/Platos,,1677.5,1.1350385046673217
4,2020,2020-07-19,4.9,18,2.5714285714285716,0.8880000000000005,886224.0000000005,180862.0408163265,1.97,0.1399999999999999,1745.861280000001,356.29822040816344,175,35.71428571428571,Boleo/Platos,,1852.5,1.1583516547777155
4,2020,2020-07-20,4.9,19,2.7142857142857144,0.8865000000000005,884727.0000000005,180556.53061224488,2.11,0.1399999999999999,1866.7739700000009,380.9742795918369,175,35.71428571428571,Boleo/Platos,1.0,2027.5,1.1786639650080213
4,2020,2020-07-21,4.9,20,2.857142857142857,0.8850000000000006,883230.0000000006,180251.02040816325,2.52,0.41000000000000014,2225.7396000000017,454.23257142857176,200,40.816326530612244,Boleo/Platos,,2227.5,1.071359724069679
4,2020,2020-07-22,4.9,21,3.0,0.8835000000000006,881733.0000000006,179945.51020408163,2.92,0.3999999999999999,2574.6603600000017,525.4408897959187,200,40.816326530612244,Boleo/Platos,,2427.5,0.9997716855070735
4,2020,2020-07-23,4.9,22,3.142857142857143,0.8820000000000007,880236.0000000007,179640.0,3.32,0.3999999999999999,2922.383520000002,596.4048000000004,225,45.91836734693877,Boleo/Platos,1.0,2652.5,0.9555881121193021
4,2020,2020-07-24,4.9,23,3.2857142857142856,0.8805000000000007,878739.0000000007,179334.48979591834,3.34,0.020000000000000018,2934.988260000002,598.9771959183677,235,47.95918367346938,Boleo/Platos,,2887.5,1.0355466828999258
4,2020,2020-07-25,4.9,24,3.4285714285714284,0.8790000000000008,877242.0000000008,179028.97959183672,3.36,0.020000000000000018,2947.5331200000023,601.5373714285719,250,51.0204081632653,Boleo/Platos,,3137.5,1.1201648117142005
4,2020,2020-07-26,4.9,25,3.5714285714285716,0.8775000000000008,875745.0000000008,178723.4693877551,3.38,0.020000000000000018,2960.018100000003,604.0853265306129,260,53.06122448979591,Boleo/Platos,,3397.5,1.207608369922059
4,2020,2020-07-27,4.9,26,3.7142857142857144,0.8760000000000009,874248.0000000009,178417.95918367346,3.39,0.010000000000000231,2963.7007200000035,604.8368816326537,265,54.08163265306122,Boleo/Platos,1.0,3662.5,1.3000982799754761
4,2020,2020-07-28,4.9,27,3.857142857142857,0.8745000000000009,872751.0000000009,178112.44897959183,3.67,0.2799999999999998,3202.996170000003,653.6726877551026,275,56.12244897959183,Boleo/Platos,,3937.5,1.2882844731829497
4,2020,2020-07-29,4.9,28,4.0,0.873000000000001,871254.000000001,177806.93877551018,3.95,0.28000000000000025,3441.4533000000047,702.3374081632662,275,56.12244897959183,Boleo/Platos,,4212.5,1.2785114502878463
4,2020,2020-07-30,4.9,29,4.142857142857143,0.871500000000001,869757.000000001,177501.42857142855,4.24,0.29000000000000004,3687.769680000005,752.606057142858,275,56.12244897959183,AA/platos,1.0,4487.5,1.267238796485113
4,2020,2020-07-31,4.9,30,4.285714285714286,0.8700000000000011,868260.000000001,177195.91836734692,4.44,0.20000000000000018,3855.074400000005,786.7498775510213,275,56.12244897959183,AA/platos,,4762.5,1.2842228883492695
4,2020,2020-08-01,4.9,31,4.428571428571429,0.8680000000000011,866264.000000001,176788.57142857142,4.64,0.1999999999999993,4019.464960000005,820.2989714285724,275,56.12244897959183,AA/platos,,5037.5,1.300718681477622
4,2020,2020-08-02,4.9,32,4.571428571428571,0.8660000000000011,864268.000000001,176381.22448979592,4.84,0.20000000000000018,4183.057120000005,853.6851265306132,0,0,AA/platos,,5037.5,1.2480022302363454
4,2020,2020-08-03,4.9,33,4.714285714285714,0.8640000000000011,862272.000000001,175973.87755102038,5.04,0.20000000000000018,4345.850880000005,886.9083428571439,275,56.12244897959183,AA/platos,1.0,5312.5,1.265108406823846
4,2020,2020-08-04,4.9,34,4.857142857142857,0.8620000000000011,860276.000000001,175566.53061224488,5.41,0.3700000000000001,4654.093160000006,949.814930612246,275,56.12244897959183,AA/platos,,5587.5,1.2396041966761793
4,2020,2020-08-05,4.9,35,5.0,0.87,868260,177195.91836734692,5.79,0.3799999999999999,5027.2254,1025.9643673469388,300,61.224489795918366,AA/platos,1.12,5887.5,1.2063018066928144
4,2020,2020-08-06,4.9,36,5.142857142857143,0.868,866264,176788.57142857142,6.17,0.3799999999999999,5344.84888,1090.7854857142856,300,61.224489795918366,AA/platos,1.0,6187.5,1.1903060597276287
4,2020,2020-08-07,4.9,37,5.285714285714286,0.866,864268,176381.22448979592,6.35,0.17999999999999972,5488.1017999999995,1120.020775510204,300,61.224489795918366,AA/platos,,6487.5,1.214547430702838
4,2020,2020-08-08,4.9,38,5.428571428571429,0.864,862272,175973.87755102038,6.6,0.25,5690.995199999999,1161.4275918367346,325,66.3265306122449,AA/platos,,6812.5,1.2287196577036836
4,2020,2020-08-09,4.9,39,5.571428571428571,0.862,860276,175566.53061224488,6.9,0.3000000000000007,5935.9044,1211.4090612244897,0,0,AA/platos,,6812.5,1.1767401728679245
4,2020,2020-08-10,4.9,40,5.714285714285714,0.86,858280,175159.18367346938,7.2,0.2999999999999998,6179.616,1261.1461224489794,325,66.3265306122449,AA/platos,1.0,7137.5,1.1830744520562704
4,2020,2020-08-11,4.9,41,5.857142857142857,0.858,856284,174751.83673469388,7.45,0.25,6379.315799999999,1301.9011836734692,325,66.3265306122449,AA/platos,,7462.5,1.1973122830137224
4,2020,2020-08-12,4.9,42,6.0,0.856,854288,174344.48979591834,7.7,0.25,6578.0176,1342.4525714285714,325,66.3265306122449,AA/platos,,7787.5,1.2108539282418185
4,2020,2020-08-13,4.9,43,6.142857142857143,0.854,852292,173937.14285714284,8,0.2999999999999998,6818.336,1391.4971428571428,325,66.3265306122449,AA/platos,1.0,8112.5,1.2159514848472583
4,2020,2020-08-14,4.9,44,6.285714285714286,0.852,850296,173529.79591836734,8.3,0.3000000000000007,7057.456800000001,1440.297306122449,325,66.3265306122449,AA/platos,,8437.5,1.2209061147724385
4,2020,2020-08-15,4.9,45,6.428571428571429,0.85,848300,173122.44897959183,8.6,0.29999999999999893,7295.38,1488.8530612244897,325,66.3265306122449,AA/platos,,8762.5,1.2257346504449573
4,2020,2020-08-16,4.9,46,6.571428571428571,0.848,846304,172715.1020408163,8.9,0.3000000000000007,7532.105600000001,1537.1644081632653,0,0,AA/platos,,8762.5,1.1864464795313237
4,2020,2020-08-17,4.9,47,6.714285714285714,0.85,848300,173122.44897959183,9.2,0.29999999999999893,7804.359999999999,1592.7265306122445,350,71.42857142857142,AA/platos,0.01,9112.5,1.1899703228910201
4,2020,2020-08-18,4.9,48,6.857142857142857,0.848,846304,172715.1020408163,9.46,0.26000000000000156,8006.0358400000005,1633.8848653061225,350,71.42857142857142,AA/platos,,9462.5,1.2039677422707293
4,2020,2020-08-19,4.9,49,7.0,0.846,844308,172307.7551020408,9.73,0.2699999999999996,8215.11684,1676.5544571428572,350,71.42857142857142,AA/platos,,9812.5,1.2161475883943906
4,2020,2020-08-20,4.9,50,7.142857142857143,0.844,842312,171900.4081632653,10,0.2699999999999996,8423.12,1719.0040816326532,350,71.42857142857142,AA/platos,1.0,10162.5,1.2278720243812793
4,2020,2020-08-21,4.9,51,7.285714285714286,0.86,858280,175159.18367346938,10.24,0.2400000000000002,8788.787199999999,1793.630040816326,325,66.3265306122449,AA/platos,1.07,10487.5,1.2135246597236355
4,2020,2020-08-22,4.9,52,7.428571428571429,0.84,838320,171085.71428571426,10.48,0.2400000000000002,8785.5936,1792.9782857142857,325,66.3265306122449,AA/platos,,10812.5,1.2515934158766473
4,2020,2020-08-23,4.9,53,7.571428571428571,0.838,836324,170678.36734693876,10.72,0.2400000000000002,8965.393280000002,1829.672097959184,0,0,AA/platos,,10812.5,1.2260756107046045
4,2020,2020-08-24,4.9,54,7.714285714285714,0.836,834328,170271.02040816325,10.96,0.2400000000000002,9144.23488,1866.1703836734694,325,66.3265306122449,AA/platos,,11137.5,1.2378261149175114
4,2020,2020-08-25,4.9,55,7.857142857142857,0.834,832332,169863.67346938775,11.2,0.23999999999999844,9322.1184,1902.4731428571426,325,66.3265306122449,AA/platos,1.0,11462.5,1.2492490337651334
4,2020,2020-08-26,4.9,56,8.0,0.832,830336,169456.32653061222,11.5,0.3000000000000007,9548.864,1948.7477551020406,350,71.42857142857142,AA/platos,,11812.5,1.256347145547378
4,2020,2020-08-27,4.9,57,8.142857142857142,0.83,828340,169048.97959183672,11.8,0.3000000000000007,9774.412,1994.7779591836734,375,76.53061224489795,AA/platos,1.0,12187.5,1.2658647255667594
4,2020,2020-08-28,4.9,58,8.285714285714286,0.828,826344,168641.6326530612,12.17,0.3699999999999992,10056.60648,2052.368669387755,350,71.42857142857142,AA/platos,,12537.5,1.2651361647562704
4,2020,2020-08-29,4.9,59,8.428571428571429,0.826,824348,168234.2857142857,12.55,0.3800000000000008,10345.5674,2111.3402857142855,350,71.42857142857142,AA/platos,,12887.5,1.2636090572908727
4,2020,2020-08-30,4.9,60,8.571428571428571,0.824,822352,167826.93877551018,12.93,0.379999999999999,10633.011359999999,2170.0023183673466,0,0,AA/platos,,12887.5,1.2289721365491828
4,2020,2020-08-31,4.9,61,8.714285714285714,0.822,820356,167419.59183673467,13.3,0.370000000000001,10910.7348,2226.6805714285715,375,76.53061224489795,AA/platos,1.0,13262.5,1.2321015705423368
4,2020,2020-09-01,4.9,62,8.857142857142858,0.82,818360,167012.24489795917,13.53,0.22999999999999865,11072.4108,2259.6756734693877,375,76.53061224489795,AA/platos,,13637.5,1.2481918036829653
4,2020,2020-09-02,4.9,63,9.0,0.818,816364,166604.89795918367,13.76,0.23000000000000043,11233.16864,2292.483395918367,375,76.53061224489795,AA/platos,,14012.5,1.2639174516944776
4,2020,2020-09-03,4.9,64,9.142857142857142,0.816,814368,166197.55102040817,14,0.2400000000000002,11401.152,2326.7657142857142,375,76.53061224489795,AA/platos,1.0,14387.5,1.2783723128414064
4,2020,2020-09-04,4.9,65,9.285714285714286,0.82,818360,167012.24489795917,14.25,0.25,11661.63,2379.924489795918,400,81.63265306122449,AA/platos,0.94,14787.5,1.2841918523139857
4,2020,2020-09-05,4.9,66,9.428571428571429,0.818,816364,166604.89795918367,14.5,0.25,11837.278,2415.771020408163,400,81.63265306122449,AA/platos,,15187.5,1.2991126600763412
4,2020,2020-09-06,4.9,67,9.571428571428571,0.816,814368,166197.55102040817,14.75,0.25,12011.928,2451.41387755102,0,0,AA/platos,,15187.5,1.2799905472434714
4,2020,2020-09-07,4.9,68,9.714285714285714,0.814,812372,165790.20408163263,15,0.25,12185.58,2486.8530612244895,400,81.63265306122449,AA/platos,1.0,15587.5,1.294753190761937
4,2020,2020-09-08,4.9,69,9.857142857142858,0.8119999999999999,810376,165382.85714285713,15.3,0.3000000000000007,12398.7528,2530.3577142857143,250,51.0204081632653,AA/platos,,15837.5,1.2926306106616352
4,2020,2020-09-09,4.9,70,10.0,0.8099999999999999,808380,164975.51020408163,15.6,0.29999999999999893,12610.728,2573.617959183673,400,81.63265306122449,AA/platos,,16237.5,1.3027391740870315
4,2020,2020-09-10,4.9,71,10.142857142857142,0.8079999999999999,806383.9999999999,164567.95918367346,15.9,0.3000000000000007,12821.505599999999,2616.633795918367,425,86.73469387755101,AA/platos,1.0,16662.5,1.3146060738816425
4,2020,2020-09-11,4.9,72,10.285714285714286,0.8059999999999999,804387.9999999999,164160.61224489796,16.2375,0.33750000000000036,13061.250149999998,2665.5612551020404,450,91.83673469387755,AA/platos,,17112.5,1.325046187974138
4,2020,2020-09-12,4.9,73,10.428571428571429,0.8039999999999999,802391.9999999999,163753.26530612243,16.575,0.3374999999999986,13299.647399999996,2714.21375510204,450,91.83673469387755,AA/platos,,17562.5,1.3352425090063205
4,2020,2020-09-13,4.9,74,10.571428571428571,0.8019999999999999,800395.9999999999,163345.91836734692,16.912499999999998,0.3374999999999986,13536.697349999997,2762.5912959183665,0,0,,,17562.5,1.3116041960385882
